name,strand,start,end,chrom
1700019N19Rik,-,58785802,58794414,chr19
1700019O17Rik,+,86426328,86428049,chr1
1700020A23Rik,+,130405258,130406074,chr2
1700020D05Rik,-,5502768,5503787,chr19
1700020D14Rik,-,206149,323296,chrY
1700020G17Rik,-,110801173,110896507,chr10
1700020I14Rik,+,119594295,119600744,chr2
1700020L24Rik,+,83437693,83441232,chr11
1700020M21Rik,-,120913773,120915250,chr9
1700020N01Rik,+,21593144,21622375,chr10
1700020N15Rik,+,69945280,69945980,chrX
1700020N18Rik,-,91404878,91406029,chr1
1700021F05Rik,-,43525120,43540994,chr10
1700021F07Rik,+,173522591,173528502,chr2
1700021K19Rik,-,32821701,32868366,chr16
1700021N21Rik,-,134448764,134450171,chr4
1700022A21Rik,+,24645452,24648860,chr5
1700022A22Rik,+,46324584,46373899,chr15
1700022E09Rik,-,59466871,59469238,chr16
1700022H01Rik,-,61674526,61680290,chr10
1700022H16Rik,-,9565235,9570585,chr12
1700022I11Rik,+,42969945,42974325,chr4
1700023C21Rik,+,109845877,109848476,chr11
1700023E05Rik,+,77016022,77061522,chr5
1700023F02Rik,-,66120608,66124064,chr10
1700023F06Rik,-,103198943,103208548,chr11
1700023L04Rik,+,29985328,29993531,chr6
1700024B18Rik,+,123987634,124015684,chr14
1700024F13Rik,+,3498049,3501393,chr13
1700024G13Rik,-,32376501,32388373,chr14
1700024I08Rik,-,63675755,63734298,chr13
1700024N05Rik,-,43162453,43174858,chr6
1700024P04Rik,-,98984089,98984565,chr13
1700024P16Rik,+,104913455,105016863,chr4
1700025B11Rik,-,77558239,77561892,chr15
1700025C18Rik,-,165078692,165090750,chr2
1700025F22Rik,-,11139682,11165320,chr19
1700025F24Rik,+,119413443,119426864,chr10
1700025G04Rik,-,151884523,152090320,chr1
1700025J12Rik,+,121589902,121591591,chr7
1700025K24Rik,-,54352582,54370074,chr17
1700025M24Rik,-,73268579,73284184,chr5
1700025N23Rik,-,39063878,39067586,chr6
1700026D08Rik,-,83775616,83794839,chr7
1700026D11Rik,+,132490727,132524057,chr2
1700026F02Rik,-,71006727,71026755,chr8
1700026J14Rik,-,48536581,48537474,chr6
1700026L06Rik,-,28692079,28699651,chr2
1700027A15Rik,+,73016035,73025508,chr1
1700027F06Rik,-,124363281,124364486,chr6
1700027F09Rik,-,64454812,64467942,chr5
1700027H10Rik,-,45416583,45439309,chr3
1700027I24Rik,-,36668855,36693189,chr9
1700027J07Rik,+,43746157,43765836,chr10
1700028B04Rik,+,28496940,28497492,chr7
1700028D13Rik,+,112206762,112210002,chr5
1700028E10Rik,+,151368674,151414083,chr5
1700028I16Rik,+,82812122,82824242,chr10
1700028J19Rik,-,44229929,44236122,chr7
1700028K03Rik,+,107534710,107551542,chr5
1700028M03Rik,-,83555366,83574118,chr3
1700028P14Rik,-,23558759,23652812,chr19
1700028P15Rik,-,171956878,171962799,chr2
1700029B22Rik,+,131146438,131150578,chr7
1700029F12Rik,-,97021863,97035254,chr13
1700029H14Rik,-,13550721,13562461,chr8
1700029I15Rik,+,92382917,92383603,chr2
1700029J03Rik,-,93396814,93458872,chr16
1700029J07Rik,-,45953605,45975252,chr8
1700029M20Rik,+,135626654,135630198,chr4
1700029N11Rik,+,44439726,44457567,chr13
1700029P11Rik,+,81980539,81981563,chr15
1700030A11Rik,+,28905264,28906771,chr17
1700030C10Rik,-,20804391,20815779,chr12
1700030F04Rik,-,117679206,117751769,chr6
1700030F18Rik,-,99918347,99931658,chr15
1700030J22Rik,-,116969598,116978943,chr8
1700030K09Rik,+,72443879,72460541,chr8
1700030L20Rik,-,136435269,136449349,chr3
1700030M09Rik,+,121544387,121547652,chr8
1700030N03Rik,-,3153798,3197703,chr19
1700030O20Rik,-,116723066,116729177,chr10
1700031A10Rik,+,36923791,36933432,chr17
1700031F05Rik,-,102859186,102866353,chrX
1700031M16Rik,+,98398444,98416135,chr15
1700031P21Rik,-,52599983,52602322,chr12
1700034E13Rik,+,52646219,52663731,chr18
1700034G24Rik,-,112582935,112589996,chr5
1700034H15Rik,-,191894071,191907527,chr1
1700034I23Rik,-,40900198,40902543,chr3
1700034J05Rik,-,146951300,146954421,chr6
1700034K08Rik,-,92979915,93005733,chr9
1700034O15Rik,+,41684430,41685717,chr6
1700034P13Rik,+,9747647,9771256,chr1
1700036G14Rik,+,85317518,85332027,chr3
1700037C18Rik,-,3905797,3908689,chr16
1700037H04Rik,-,131146324,131160020,chr2
1700039E15Rik,+,45282872,45288993,chr7
1700039E22Rik,-,44828492,44835938,chr19
1700040L02Rik,-,68430955,68541875,chr10
1700041A01Rik,-,88291360,88301023,chr5
1700041C23Rik,+,57175274,57186110,chr9
1700041M19Rik,-,77004227,77010881,chr16
1700042B14Rik,-,155124980,155147849,chrX
1700042G07Rik,+,116173371,116174297,chr4
1700042G15Rik,-,57359791,57364292,chr4
1700042O10Rik,+,11868122,11885321,chr11
1700044C05Rik,+,118365877,118398165,chr14
1700044K03Rik,+,49523288,49524441,chr18
1700045H11Rik,-,150828224,150854949,chr4
1700046C09Rik,-,14560335,14599225,chr11
1700047A11Rik,+,26082608,26096520,chr8
1700047E10Rik,-,44191606,44213237,chr14
1700047G03Rik,+,11967061,11970083,chr15
1700047I17Rik2,+,55124527,55217146,chr12
1700047L14Rik,+,108763841,108768917,chr5
1700047M11Rik,+,182300833,182303289,chr1
1700048M11Rik,-,92308715,92312466,chr16
1700048O20Rik,+,121937274,121947016,chr9
1700049E15Rik,+,147690240,147702374,chr6
1700049E22Rik,+,100527399,100533426,chr6
1700049G17Rik,-,27907391,27929430,chr7
1700049L16Rik,-,71979884,71980690,chr10
1700051A21Rik,+,72266843,72268556,chr11
1700052I22Rik,-,80923431,80924447,chr12
1700052K11Rik,-,105179020,105181433,chr11
1700054A03Rik,+,53076251,53084392,chr19
1700054K19Rik,+,112210707,112212518,chr6
1700054M17Rik,+,118304913,118308166,chr2
1700055C04Rik,-,64038464,64041465,chr9
1700055N04Rik,+,3958807,3970438,chr19
1700056E22Rik,-,184033031,184033998,chr1
1700057G04Rik,+,92309376,92357876,chr9
1700057H15Rik,-,124449625,124485959,chr4
1700057H21Rik,-,51421049,51437900,chr2
1700060C16Rik,-,143593352,143651288,chr6
1700060C20Rik,+,158192007,158195734,chr2
1700061F12Rik,+,9189514,9197484,chr2
1700061G19Rik,+,56875632,56888838,chr17
1700061I17Rik,-,117060521,117077765,chr3
1700061J23Rik,+,23152139,23166375,chr11
1700063A18Rik,-,95990658,96021758,chr1
1700063D05Rik,+,41206154,41217627,chr9
1700063O14Rik,-,91766241,91767300,chr5
1700064J06Rik,+,119092904,119103107,chr10
1700064M15Rik,-,99626052,99627974,chr12
1700065D16Rik,-,95855417,95857882,chr9
1700065I16Rik,+,63817187,63819540,chr15
1700065J11Rik,+,35330845,35336829,chr6
1700065J18Rik,+,192841704,192842739,chr1
1700065L07Rik,-,73436964,73471021,chr6
1700065O20Rik,-,49803331,49817956,chr18
1700066B17Rik,-,39842427,39847330,chr1
1700066B19Rik,+,35726988,35730869,chr18
1700066J03Rik,+,58146948,58148975,chr13
1700066M21Rik,+,57377619,57385422,chr1
1700066N21Rik,-,87908587,87979351,chr5
1700066O22Rik,-,57504421,57533752,chr18
1700067G17Rik,+,89016112,89022210,chr1
1700067K01Rik,+,84001705,84004770,chr8
1700067P10Rik,+,48089631,48090920,chr17
1700069L16Rik,-,113692423,113724772,chr5
1700069P05Rik,-,118246694,118248454,chr6
1700071K01Rik,-,81572501,81573539,chr11
1700071M16Rik,-,43588339,43591509,chr17
1700072B07Rik,+,58370503,58374183,chr9
1700072I22Rik,+,103638935,103649013,chr11
1700072O05Rik,+,120554795,120574204,chr6
1700073E17Rik,+,145387624,145392223,chr6
1700074H08Rik,+,119680041,119681582,chr13
1700074P13Rik,-,40920459,40940557,chr6
1700080E11Rik,-,105143343,105145082,chr9
1700080N15Rik,-,4132064,4141141,chr2
1700080O16Rik,-,51968694,51972772,chrX
1700081H04Rik,+,119108235,119114543,chr5
1700084C01Rik,+,169928938,169934653,chr1
1700084D21Rik,+,113136075,113144012,chr13
1700084E18Rik,-,30237197,30237631,chr2
1700084F23Rik,-,70004049,70028348,chr13
1700084J12Rik,-,33405208,33405939,chr15
1700084M14Rik,-,91575210,91575911,chrX
1700085C21Rik,-,82932519,82939155,chr12
1700086L19Rik,+,74284275,74295950,chr12
1700086O06Rik,-,38238404,38250565,chr18
1700088E04Rik,-,79134654,79141251,chr15
1700091H14Rik,-,42089749,42095277,chr14
1700092C02Rik,+,77624171,77628956,chr8
1700092C10Rik,-,69164798,69171843,chr14
1700092E19Rik,-,26283158,26312406,chr13
1700092K14Rik,+,114198257,114199199,chr11
1700092M07Rik,+,8740717,8741225,chr19
1700093K21Rik,-,23516202,23519942,chr11
1700094D03Rik,+,90062795,90068347,chr3
1700094J05Rik,+,76389014,76401507,chr10
1700094M24Rik,+,52492450,52500085,chr6
1700095A21Rik,-,146519038,146546873,chr4
1700095B10Rik,+,112793291,112801701,chr5
1700095J12Rik,-,138137579,138138518,chr4
1700096J18Rik,+,109346866,109353651,chr11
1700096K18Rik,+,25530017,25531466,chr5
1700096P03Rik,-,87636097,87642210,chr8
1700097N02Rik,-,30622440,30626905,chr17
1700099I09Rik,+,102760254,102761896,chr13
1700100I10Rik,-,114940224,114945948,chr14
1700100L14Rik,+,70573240,70576104,chr13
1700101E01Rik,-,28955480,29055066,chr2
1700101I11Rik,-,129532183,129533284,chr6
1700101O22Rik,-,7372038,7380330,chr12
1700102H20Rik,+,3557823,3559863,chr17
1700102P08Rik,+,108392833,108397767,chr9
1700104L18Rik,+,54233614,54242320,chr12
1700105P06Rik,+,7383002,7383557,chr19
1700106J16Rik,+,88294042,88295261,chr11
1700108F19Rik,+,76677567,76687108,chr14
1700108J01Rik,-,122229904,122233638,chr14
1700109G14Rik,-,61292982,61305334,chr14
1700109G15Rik,-,84716975,84720432,chr11
1700109H08Rik,+,3571715,3584341,chr5
1700109I08Rik,+,39655662,39685293,chr14
1700109K24Rik,+,77084397,77096314,chr15
1700110C19Rik,+,10324601,10329312,chr17
1700110I01Rik,+,3262401,3783730,chr14
1700110I07Rik,-,41060616,41089843,chr7
1700110K17Rik,+,40333471,40343337,chr9
1700111N16Rik,-,69929259,70143588,chrX
1700112E06Rik,+,22019711,23056088,chr14
1700112H15Rik,-,184527840,184557691,chr1
1700112J05Rik,-,77006441,77018863,chr5
1700112J16Rik,-,67204081,67222536,chr7
1700113A16Rik,-,88171559,88177785,chr3
1700113B09Rik,+,71201744,71204488,chr10
1700113H08Rik,+,87058045,87230599,chr10
1700116B05Rik,+,50783408,50784091,chr16
1700119H24Rik,-,34935854,34939329,chr16
1700120C14Rik,+,99251787,99262041,chr15
1700120E14Rik,-,74495677,74531124,chr18
1700120G07Rik,-,135191764,135196002,chr7
1700120K04Rik,-,127603902,127604445,chr7
1700121L16Rik,+,104816775,104842455,chrX
1700121N20Rik,-,106442651,106447666,chr12
1700122C19Rik,+,37465253,37471827,chr19
1700122O11Rik,-,48036744,48038293,chr17
1700123I01Rik,+,6184409,6224219,chr19
1700123J17Rik,-,126224246,126248238,chr7
1700123K08Rik,-,138561839,138564694,chr5
1700123L14Rik,-,96164502,96166205,chr6
1700123M08Rik,+,11966573,11994295,chr4
1700123O12Rik,-,10508030,10797802,chr4
1700123O20Rik,+,54686170,54690742,chr14
1700123O21Rik,+,5975586,5998496,chr16
1700124L16Rik,-,83761758,83762508,chr6
1700125G02Rik,-,124890887,124894782,chr4
1700125G22Rik,+,27154025,27157019,chr3
1700125H03Rik,+,68368458,68375710,chr8
1700125H20Rik,+,85171095,85181154,chr11
1700126H18Rik,-,66166606,66191335,chr5
1700128A07Rik,-,106417186,106486520,chr14
1700128F08Rik,+,8221888,8241987,chr9
1700129C05Rik,-,59133039,59142893,chr14
1810006J02Rik,+,98131466,98144655,chr1
1810007C17Rik,-,49476992,49480862,chr12
1810007D17Rik,+,58606328,58629753,chr19
1810008I18Rik,+,65804051,65806223,chr7
1810009A15Rik,+,8888882,8890759,chr19
1810009J06Rik,+,40964771,40968427,chr6
1810010D01Rik,-,145205817,145208119,chr7
1810010H24Rik,+,107028222,107030442,chr11
1810011H11Rik,+,32785962,32817968,chr14
1810011O10Rik,-,24437615,24438946,chr8
1810012K16Rik,+,22398720,22399591,chr8
1810013A23Rik,+,28271707,28273163,chr17
1810013L24Rik,+,8830099,8858924,chr16
1810014B01Rik,+,86685526,86689954,chr10
1810018F18Rik,+,58698916,58701323,chr19
1810019D21Rik,+,106135399,106138722,chr8
1810020O05Rik,-,87675592,87690847,chr6
1810021B22Rik,-,89071197,89075854,chr15
1810022K09Rik,-,14606288,14611256,chr3
1810024B03Rik,-,127186354,127208280,chr2
1810026B05Rik,-,73539797,73558395,chr7
1810026J23Rik,+,21592721,21595970,chr9
1810030O07Rik,-,12654883,12673546,chrX
1810032O08Rik,+,116671659,116675798,chr11
1810034E14Rik,+,64248699,64268145,chr13
1810037I17Rik,+,122924396,122926194,chr3
1810041H14Rik,-,121876860,121879408,chr14
1810041L15Rik,-,84379202,84447097,chr15
1810043G02Rik,+,77978649,77985438,chr10
1810043H04Rik,+,120098933,120100424,chr11
1810044D09Rik,+,91440986,91441755,chr6
1810046K07Rik,-,51289685,51328917,chr9
1810053B23Rik,-,93343715,93359543,chr16
1810055G02Rik,+,3708332,3717881,chr19
1810058I24Rik,+,35252698,35262059,chr6
1810062G17Rik,+,36475936,36482299,chr3
1810062O18Rik,+,20546292,20570680,chr14
1810063I02Rik,+,59921498,59921889,chr11
1810064F22Rik,-,22206785,22213860,chr9
1810065E05Rik,+,58421110,58426023,chr11
2010001A14Rik,-,57795498,57801467,chr11
2010001E11Rik,-,39920381,39926923,chr10
2010002M12Rik,-,34617050,34640743,chr19
2010003K11Rik,-,4496787,4498583,chr19
2010005H15Rik,+,36221561,36257427,chr16
2010009K17Rik,-,158070363,158091797,chr2
2010010A06Rik,-,75288659,75297329,chr18
2010012O05Rik,+,46689905,46703382,chr19
2010016I18Rik,-,106481985,106485913,chr3
2010106C02Rik,-,86285166,86287178,chr17
2010106E10Rik,+,112495273,112558343,chrX
2010107E04Rik,-,111961375,111966977,chr12
2010107G12Rik,-,34945294,34977999,chr6
2010107G23Rik,-,62107655,62111013,chr10
2010109A12Rik,+,93206517,93213474,chr5
2010109I03Rik,-,74878335,74881704,chr15
2010111I01Rik,+,62964892,63326096,chr13
2010204K13Rik,-,7411816,7422988,chrX
2010300C02Rik,-,37611675,37719811,chr1
2010308F09Rik,-,13234640,13247733,chrX
2010310C07Rik,+,42370670,42380558,chr6
2010315B03Rik,-,124291803,124312694,chr9
2010320M18Rik,+,70776861,70777606,chr8
2200002D01Rik,-,29247520,29248467,chr7
2200002J24Rik,+,30698925,30700534,chr7
2210010C04Rik,-,41030267,41035509,chr6
2210011C24Rik,-,84010227,84011720,chr8
2210013O21Rik,+,153723553,153741296,chrX
2210015D19Rik,+,5762149,5784710,chr11
2210016F16Rik,-,58380045,58385225,chr13
2210016L21Rik,+,114942201,114948540,chr5
2210018M11Rik,-,98590605,98656569,chr7
2210019I11Rik,-,147228597,147271521,chr5
2210039B01Rik,+,73548482,73551986,chr12
2210404E10Rik,+,10684792,10685556,chr19
2210404O09Rik,-,21879569,21909926,chr17
2210406O10Rik,-,36447610,36464854,chr5
2210407C18Rik,-,58608205,58613492,chr11
2210408F21Rik,+,31220350,31337394,chr6
2210408I21Rik,+,77135535,77613679,chr13
2210409D07Rik,-,57632078,57638585,chr18
2210409E12Rik,+,88972637,88973014,chr11
2210414B05Rik,+,3656505,3663108,chr4
2210416O15Rik,+,88098057,88100107,chr11
2210417A02Rik,+,148741839,148743139,chr5
2210420H20Rik,-,82754504,82759039,chr18
2300002M23Rik,+,35567484,35568945,chr17
2300003K06Rik,-,99837147,99838066,chr11
2300005B03Rik,-,74742838,74746687,chr15
2300009A05Rik,-,63394446,63399244,chr9
2310001H17Rik,-,129232622,129238482,chr6
2310001K24Rik,+,163472544,163473003,chr2
2310002D06Rik,+,80507205,80517954,chr12
2310002F09Rik,-,43745465,43755936,chr7
2310002L09Rik,-,73939370,73950846,chr4
2310003H01Rik,-,120369561,120378746,chr11
2310003N18Rik,-,50232522,50233182,chr9
2310005A03Rik,-,155097790,155100079,chr2
2310005E17Rik,-,98424109,98435065,chr13
2310007B03Rik,-,93151354,93160948,chr1
2310007L24Rik,+,106374825,106377114,chr11
2310008N11Rik,-,26814596,26824423,chr8
2310009A05Rik,+,73039717,73042775,chr9
2310009B15Rik,-,138851978,138856854,chr1
2310010J17Rik,-,90124835,90129936,chr7
2310011J03Rik,-,80318254,80320548,chr10
2310014L17Rik,+,12927415,12931072,chr7
2310015A10Rik,-,80120545,80132844,chr12
2310015B20Rik,+,70204666,70219711,chr10
2310015D24Rik,-,13514130,13520419,chr16
2310016D03Rik,-,30410558,30467358,chr12
2310020H05Rik,-,99076527,99087921,chr13
2310022A10Rik,+,27553289,27582098,chr7
2310022B05Rik,-,124635755,124663369,chr8
2310030A07Rik,-,150320680,150346771,chr1
2310030G06Rik,-,50739690,50746521,chr9
2310033P09Rik,+,59208360,59210734,chr11
2310034C09Rik,+,88758846,88759789,chr16
2310034G01Rik,-,46348200,46348988,chr19
2310034O05Rik,+,100210691,100218049,chr5
2310035C23Rik,+,105663860,105755131,chr1
2310036O22Rik,+,85026832,85030286,chr8
2310039H08Rik,+,46772634,46773407,chr17
2310039L15Rik,+,95336275,95363216,chr10
2310040G24Rik,-,86483375,86488227,chr6
2310043L19Rik,-,177641541,177642943,chr1
2310043O21Rik,-,38549343,38594934,chr15
2310045N01Rik,+,70139712,70147260,chr8
2310047M10Rik,+,69059774,69061576,chr11
2310050C09Rik,-,92868358,92870205,chr3
2310057J18Rik,-,28972287,28986306,chr10
2310057M21Rik,-,131342717,131362698,chr7
2310057N15Rik,-,88773180,88774206,chr16
2310061I04Rik,-,35892676,35897378,chr17
2310061J03Rik,-,55973267,55974617,chr16
2310061N02Rik,-,88707170,88707962,chr16
2310065F04Rik,-,67112460,67120080,chr11
2310067B10Rik,+,115765432,115799033,chr11
2310068J16Rik,-,99972166,99973287,chr15
2310069B03Rik,-,82877865,82881853,chr6
2310069G16Rik,+,44787762,44805829,chr15
2310075C17Rik,+,112227455,112228242,chr9
2310079G19Rik,-,88626787,88627666,chr16
2310081J21Rik,-,50261814,50680224,chr13
2400006E01Rik,-,41500930,41528474,chr3
2410002F23Rik,+,44246721,44252319,chr7
2410003L11Rik,+,97598510,97622893,chr11
